id	filename	md5	size	state
1afd4bc4-4488-4c04-b344-5eb731ac2276	1afd4bc4-4488-4c04-b344-5eb731ac2276/9a11a963-d212-44ba-a8d5-0a5c02d85cc6.wxs.aliquot_ensemble_masked.maf.gz	98e41c2cb6bfc73cd1bd8af0c490b187	179865	validated
1bd9320f-e194-4542-b875-abcdf4517530	1bd9320f-e194-4542-b875-abcdf4517530/e2bc95f5-70b3-4f24-a7b5-724d97068cb3.wxs.aliquot_ensemble_masked.maf.gz	17e64c38233e9b2a24bf8bcfc6bd3e64	18161	validated
1c0e7830-6499-4e6e-9f4b-51258e21727f	1c0e7830-6499-4e6e-9f4b-51258e21727f/de3db3de-97eb-4838-9f68-39f31c810726.wxs.aliquot_ensemble_masked.maf.gz	4faa2579aec3b8ab54b48938035b11a3	79349	validated
1c7577ef-17b3-488a-8f65-7df686458f0f	1c7577ef-17b3-488a-8f65-7df686458f0f/ddbdd93c-a741-47c8-854f-f165e9b8bb5d.wxs.aliquot_ensemble_masked.maf.gz	0ac6d518637afd57567203b780ad7628	94321	validated
1c97a560-73c0-40b1-aab0-221239a753ac	1c97a560-73c0-40b1-aab0-221239a753ac/fe0a6fc6-af53-48f6-83a9-a028f62abbe0.wxs.aliquot_ensemble_masked.maf.gz	473ab62fbf3b5eb122b6040a29a20b16	18745	validated
1dc42362-1772-4689-b880-4d0c691b49bf	1dc42362-1772-4689-b880-4d0c691b49bf/8927b6e2-c346-460b-9c76-8592a4a5f392.wxs.aliquot_ensemble_masked.maf.gz	83a80f461b1f35cb10d73c3a535e7b6c	48045	validated
1e4475be-70d6-48e7-8e38-58c100a9d0bd	1e4475be-70d6-48e7-8e38-58c100a9d0bd/c5918092-b5ce-44f3-ae87-72b079a9aae0.wxs.aliquot_ensemble_masked.maf.gz	99c225c7dbfe91ddedd5c51aee8795bf	14944	validated
1e964390-0113-448a-86bb-ef1b05c64227	1e964390-0113-448a-86bb-ef1b05c64227/cc3f6eec-b26a-4f30-99ce-7666848bbce1.wxs.aliquot_ensemble_masked.maf.gz	b3d6878f8dd500e0eb958427f48fafdd	17729	validated
1e9b6d6b-f6e7-40d6-943a-e2081e906f95	1e9b6d6b-f6e7-40d6-943a-e2081e906f95/0a2a601e-2340-412b-9282-ea9388aaf3ed.wxs.aliquot_ensemble_masked.maf.gz	fb79790a34be4f7765e6205e9857304a	235407	validated
1f6d5d29-28f5-4023-af21-5254aff4bf43	1f6d5d29-28f5-4023-af21-5254aff4bf43/4829371a-5adb-440b-9b78-dd87229b5875.wxs.aliquot_ensemble_masked.maf.gz	21124595716c357326cea57f96f00eec	30568	validated
1fcfb5db-74da-419f-88e4-c0eb0fba9dd5	1fcfb5db-74da-419f-88e4-c0eb0fba9dd5/8d7f6551-56fb-4784-9165-2c1417f01d0b.wxs.aliquot_ensemble_masked.maf.gz	077c8683fa253fb8d34fe75a93a8c547	44837	validated
2048e27b-9dd5-4dff-9ee1-2a68e6b96a5b	2048e27b-9dd5-4dff-9ee1-2a68e6b96a5b/5fe81b77-1967-47c2-8beb-343b47bd65d9.wxs.aliquot_ensemble_masked.maf.gz	4a7c3165d907311527094973a6a5e0a7	44201	validated
20d4884e-69b2-4a7b-944b-c5153bd0a835	20d4884e-69b2-4a7b-944b-c5153bd0a835/d89e9ec7-6334-4692-b440-4dbe24062d75.wxs.aliquot_ensemble_masked.maf.gz	22bc146eccfaf8a0e49b3b631df71ec8	20339	validated
2118283d-7427-4043-a551-907645dace0d	2118283d-7427-4043-a551-907645dace0d/c5b23a04-3b8c-4ce2-a604-aa18879dcd66.wxs.aliquot_ensemble_masked.maf.gz	2eb75387e59613d0e6a1d6d3b424bf92	309731	validated
21e26dee-6322-4478-aaf7-abf584b9b964	21e26dee-6322-4478-aaf7-abf584b9b964/21c1241a-6305-4c80-b431-24e4086f3a3b.wxs.aliquot_ensemble_masked.maf.gz	2d3cd50ec5f350e5a1884339a51264f6	37274	validated
22dd9d82-3e62-46bf-bbab-6b1b51cf3e9f	22dd9d82-3e62-46bf-bbab-6b1b51cf3e9f/c43c1c20-ae1a-45f6-8d91-7ea96bdf79a4.wxs.aliquot_ensemble_masked.maf.gz	a4d716cfe4e0991ca40ef0a7c1ea1fb0	49732	validated
238fc9a3-4a9c-44ff-845e-5b3b8aad6f2c	238fc9a3-4a9c-44ff-845e-5b3b8aad6f2c/5bc5ec12-ded8-4bb7-8563-340435233535.wxs.aliquot_ensemble_masked.maf.gz	98f6989e9ffcff2d56b8a81dcd06bb78	98793	validated
2396f4cd-37c0-4675-a981-a8731903bdbc	2396f4cd-37c0-4675-a981-a8731903bdbc/54d191e3-3e91-41a5-8c26-9cd08c2125b8.wxs.aliquot_ensemble_masked.maf.gz	202ca413015dc1b8b3e04c76018d1062	165499	validated
